epoch,train_classification_loss,train_binary_loss,train_classification_f1_score,train_classification_precision,train_classification_recall,train_binary_f1_score,train_binary_precision,train_binary_recall,train_total_loss,eval_classification_loss,eval_binary_loss,eval_classification_f1_score,eval_classification_precision,eval_classification_recall,eval_binary_f1_score,eval_binary_precision,eval_binary_recall,eval_total_loss
1,3.6737405940739793,0.6812399005649066,0.024186691269278526,0.037577785551548004,0.03148429095745087,0.41663166880607605,0.4089035391807556,0.42465752363204956,4.354980494638886,3.579816048795527,0.6522738174958662,0.03564489632844925,0.07022565603256226,0.05682798847556114,0.12857143580913544,0.7200000286102295,0.07058823853731155,4.232089866291393
2,3.5279634938095557,0.6317456190032188,0.06738683581352234,0.11397014558315277,0.08290240168571472,0.1726190447807312,0.6590909361839294,0.09931506961584091,4.159709112812775,3.442383506081321,0.6287039951844648,0.10062949359416962,0.16342955827713013,0.14021426439285278,0.1560283750295639,0.8148148059844971,0.08627451211214066,4.071087501265786
3,3.3734838890306875,0.6057917668361856,0.12801796197891235,0.2513445019721985,0.15555545687675476,0.2928521931171417,0.7728937864303589,0.18065068125724792,3.979275655866873,3.2686984647404063,0.6081232211806558,0.16879859566688538,0.25828760862350464,0.21575847268104553,0.33438485860824585,0.8548387289047241,0.2078431397676468,3.876821685921062
4,3.1893835019583654,0.5810707831623578,0.1722346544265747,0.2670777142047882,0.20817360281944275,0.43320849537849426,0.7995391488075256,0.2970890402793884,3.7704542851207234,3.080199284987016,0.5894471921704032,0.21851655840873718,0.3100411295890808,0.25779950618743896,0.44507041573524475,0.7900000214576721,0.30980393290519714,3.6696464771574195
5,2.997714769960654,0.5516756715798619,0.20460882782936096,0.31188008189201355,0.2401360273361206,0.5174825191497803,0.8102189898490906,0.38013699650764465,3.549390441540516,2.897583983161233,0.5626305870034478,0.23827636241912842,0.3572966456413269,0.27757763862609863,0.5040650367736816,0.8157894611358643,0.364705890417099,3.4602145701646805
6,2.827088293403086,0.5256836019983195,0.2539903521537781,0.39633285999298096,0.2889406681060791,0.5877240896224976,0.8038632869720459,0.4631849229335785,3.3527718954014056,2.7264071811329234,0.5415379675951871,0.2841716408729553,0.3707326352596283,0.3245733380317688,0.5882353186607361,0.7843137383460999,0.47058823704719543,3.2679451487281104
7,2.6478552890546396,0.504721999168396,0.30244576930999756,0.4017559885978699,0.3323836326599121,0.6281851530075073,0.800000011920929,0.517123281955719,3.1525772882230356,2.6009365536949853,0.5217421745712106,0.3142465353012085,0.3713974952697754,0.35238853096961975,0.6168674826622009,0.800000011920929,0.501960813999176,3.122678728266196
8,2.509195387965501,0.48675875982852895,0.32803234457969666,0.47804516553878784,0.35831671953201294,0.6532299518585205,0.8239895701408386,0.5410959124565125,2.99595414779403,2.4440376433459194,0.496487865393812,0.3454403281211853,0.3985579013824463,0.38536787033081055,0.672897219657898,0.8323699235916138,0.5647059082984924,2.9405255087397313
9,2.3701406873837865,0.46062184102607495,0.3588303029537201,0.47060999274253845,0.3890064060688019,0.6814292669296265,0.8266178369522095,0.579623281955719,2.8307625284098616,2.307413702661341,0.49127948690544476,0.36444029211997986,0.4121061861515045,0.4053400158882141,0.6282973885536194,0.8086419701576233,0.5137255191802979,2.798693189566786
10,2.225868004741091,0.4444043795869808,0.3944486081600189,0.499750018119812,0.42205727100372314,0.7051153182983398,0.851089596748352,0.601883590221405,2.670272384328072,2.209399711002003,0.4733735417777842,0.40498587489128113,0.4733610451221466,0.44813039898872375,0.6636155843734741,0.7967032790184021,0.5686274766921997,2.682773252779787
11,2.105048839492027,0.4304533034864098,0.4204052686691284,0.49867159128189087,0.44782528281211853,0.7123420834541321,0.8235955238342285,0.6275684833526611,2.535502142978437,2.11362180926583,0.47124992446465924,0.41453859210014343,0.4913434386253357,0.45243194699287415,0.6728538274765015,0.8238636255264282,0.5686274766921997,2.5848717337304894
12,2.0062873014295945,0.40682611591888196,0.44293078780174255,0.5546427369117737,0.470196008682251,0.742607831954956,0.8558658957481384,0.6558219194412231,2.4131134173484767,2.0200935006141663,0.45445740629326214,0.4306783378124237,0.4810832142829895,0.4755694270133972,0.6862302422523499,0.8085106611251831,0.5960784554481506,2.4745509069074285
13,1.9256528965150468,0.3992157021556238,0.4659738540649414,0.5397758483886719,0.4923389256000519,0.7495256066322327,0.8404255509376526,0.676369845867157,2.3248685986706707,1.9581189372322776,0.43935885348103265,0.46517664194107056,0.5217745304107666,0.5057438015937805,0.695652186870575,0.8351648449897766,0.5960784554481506,2.3974777907133102
14,1.8202556347606158,0.38345640807440784,0.4975523352622986,0.5893874764442444,0.5209361910820007,0.7575903534889221,0.8665931820869446,0.6729452013969421,2.203712042835024,1.8645562204447659,0.46058256788687274,0.46868759393692017,0.4798312187194824,0.5094716548919678,0.6964285969734192,0.8082901835441589,0.6117647290229797,2.3251387883316386
15,1.7378230383901885,0.3651595523562094,0.5125341415405273,0.599716067314148,0.535423994064331,0.7824463248252869,0.8603696227073669,0.7174657583236694,2.102982590746398,1.8131597150455823,0.4438677010211078,0.48704105615615845,0.5289875268936157,0.5234723091125488,0.6898148059844971,0.8418079018592834,0.5843137502670288,2.25702741606669
16,1.657367428143819,0.34513089497282046,0.5478323698043823,0.633060097694397,0.5667302012443542,0.792097806930542,0.8789144158363342,0.7208904027938843,2.0024983231166393,1.744028091430664,0.4422866255044937,0.5076746940612793,0.5574480891227722,0.538689136505127,0.7056179642677307,0.8263157606124878,0.615686297416687,2.1863147169351578
17,1.5822162869000675,0.34890437758330145,0.5712931752204895,0.6358984708786011,0.5873007774353027,0.7951356172561646,0.876288652420044,0.7277397513389587,1.931120664483369,1.7028467113321477,0.43647943301634357,0.5420583486557007,0.5768762230873108,0.5696825385093689,0.7280513644218445,0.801886796951294,0.6666666865348816,2.1393261443484914
18,1.5232063917198566,0.3238614604930685,0.5812615156173706,0.6140475273132324,0.5989420413970947,0.805956244468689,0.88277268409729,0.7414383292198181,1.8470678522129251,1.6461575789885088,0.4336584223942323,0.5541464686393738,0.5795596241950989,0.5796781778335571,0.7394958138465881,0.7963801026344299,0.6901960968971252,2.079816001382741
19,1.4400177700350982,0.31292526107845886,0.6146184206008911,0.7035441398620605,0.6251599788665771,0.8153277635574341,0.8847695589065552,0.755993127822876,1.7529430311135572,1.5691458582878113,0.44189544834873895,0.5625784993171692,0.601864755153656,0.584423303604126,0.7370689511299133,0.8181818127632141,0.6705882549285889,2.0110413066365505
20,1.3817749649587303,0.29249186527849447,0.6288564801216125,0.6955627799034119,0.6375665664672852,0.8393352031707764,0.9108216166496277,0.778253436088562,1.6742668302372248,1.538630799813704,0.43151256848465314,0.5528228282928467,0.5678961277008057,0.5836337208747864,0.7194860577583313,0.7924528121948242,0.658823549747467,1.9701433682983573
